Airtable Table,Airtable Field,Airtable Field Type,Live Options,Static Form Field Name,OAS Injected?,New-Base Writer Mapped?,Legacy Writer Mapped?,Child Table / JSON Payload?,Source File(s),Needed For OAS?,Needed For Operator Explorer?,Needed For Operator Strategy?,Coverage Status,Risk Level,Recommended Action
Operator Setup - Platform & Markets,geo_cala_pipeline_rooms,singleLineText,,geo_cala_pipeline_rooms,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,Yes,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,geo_cala_total_hotels,singleLineText,,geo_cala_total_hotels,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,Yes,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,geo_cala_total_rooms,singleLineText,,geo_cala_total_rooms,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,Yes,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,geo_eu_existing_hotels,singleLineText,,geo_eu_existing_hotels,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,Yes,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,geo_eu_existing_rooms,singleLineText,,geo_eu_existing_rooms,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,Yes,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,geo_eu_pipeline_hotels,singleLineText,,geo_eu_pipeline_hotels,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,Yes,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,geo_eu_pipeline_rooms,singleLineText,,geo_eu_pipeline_rooms,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,Yes,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,geo_eu_total_hotels,singleLineText,,geo_eu_total_hotels,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,Yes,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,geo_eu_total_rooms,singleLineText,,geo_eu_total_rooms,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,Yes,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,geo_mea_existing_hotels,singleLineText,,geo_mea_existing_hotels,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,Yes,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,geo_mea_existing_rooms,singleLineText,,geo_mea_existing_rooms,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,Yes,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,geo_mea_pipeline_hotels,singleLineText,,geo_mea_pipeline_hotels,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,Yes,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,geo_mea_pipeline_rooms,singleLineText,,geo_mea_pipeline_rooms,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,Yes,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,geo_mea_total_hotels,singleLineText,,geo_mea_total_hotels,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,Yes,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,geo_mea_total_rooms,singleLineText,,geo_mea_total_rooms,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,Yes,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,geo_apac_existing_hotels,singleLineText,,geo_apac_existing_hotels,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,Yes,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,geo_apac_existing_rooms,singleLineText,,geo_apac_existing_rooms,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,Yes,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,geo_apac_pipeline_hotels,singleLineText,,geo_apac_pipeline_hotels,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,Yes,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,geo_apac_pipeline_rooms,singleLineText,,geo_apac_pipeline_rooms,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,Yes,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,geo_apac_total_hotels,singleLineText,,geo_apac_total_hotels,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,Yes,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,geo_apac_total_rooms,singleLineText,,geo_apac_total_rooms,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,Yes,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,geo_total_existing_hotels,singleLineText,,geo_total_existing_hotels,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,Yes,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,geo_total_existing_rooms,singleLineText,,geo_total_existing_rooms,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,Yes,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,geo_total_pipeline_hotels,singleLineText,,geo_total_pipeline_hotels,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,Yes,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,geo_total_pipeline_rooms,singleLineText,,geo_total_pipeline_rooms,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,Yes,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,geo_total_total_hotels,singleLineText,,geo_total_total_hotels,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,Yes,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,geo_total_total_rooms,singleLineText,,geo_total_total_rooms,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,Yes,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,numberOfMarkets,number,,numberOfMarkets,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,specificMarkets,multilineText,,specificMarkets; regions,No,Yes,Yes,No,operator-alignment-5b-schema-backup-2026-05-25.json; operator-setup-new-base-build-sheet-rows.json; third-party-operator-airtable-fields-used.js; operator-setup-write-plan.js; he-cala-form-inventory.json,No,Yes,No,Fully Covered,Low,In new-base writer build sheet with form or OAS inject
Operator Setup - Platform & Markets,luxuryExistingProperties,singleLineText,,luxuryExistingProperties,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,luxuryExistingRooms,singleLineText,,luxuryExistingRooms,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,luxuryPipelineProperties,singleLineText,,luxuryPipelineProperties,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,luxuryPipelineRooms,singleLineText,,luxuryPipelineRooms,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,luxuryProperties,singleLineText,,luxuryProperties,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,luxuryRooms,singleLineText,,luxuryRooms,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,luxuryAvgStaff,number,,luxuryAvgStaff,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,upperUpscaleExistingProperties,singleLineText,,upperUpscaleExistingProperties,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,upperUpscaleExistingRooms,singleLineText,,upperUpscaleExistingRooms,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,upperUpscalePipelineProperties,singleLineText,,upperUpscalePipelineProperties,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,upperUpscalePipelineRooms,singleLineText,,upperUpscalePipelineRooms,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,upperUpscaleProperties,singleLineText,,upperUpscaleProperties,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,upperUpscaleRooms,singleLineText,,upperUpscaleRooms,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,upperUpscaleAvgStaff,number,,upperUpscaleAvgStaff,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,upscaleExistingProperties,singleLineText,,upscaleExistingProperties,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,upscaleExistingRooms,singleLineText,,upscaleExistingRooms,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,upscalePipelineProperties,singleLineText,,upscalePipelineProperties,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,upscalePipelineRooms,singleLineText,,upscalePipelineRooms,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,upscaleProperties,singleLineText,,upscaleProperties,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,upscaleRooms,singleLineText,,upscaleRooms,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,upscaleAvgStaff,number,,upscaleAvgStaff,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,upperMidscaleExistingProperties,singleLineText,,upperMidscaleExistingProperties,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,upperMidscaleExistingRooms,singleLineText,,upperMidscaleExistingRooms,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,upperMidscalePipelineProperties,singleLineText,,upperMidscalePipelineProperties,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,upperMidscalePipelineRooms,singleLineText,,upperMidscalePipelineRooms,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,upperMidscaleProperties,singleLineText,,upperMidscaleProperties,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,upperMidscaleRooms,singleLineText,,upperMidscaleRooms,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,upperMidscaleAvgStaff,number,,upperMidscaleAvgStaff,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,midscaleExistingProperties,singleLineText,,midscaleExistingProperties,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,midscaleExistingRooms,singleLineText,,midscaleExistingRooms,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,midscalePipelineProperties,singleLineText,,midscalePipelineProperties,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,midscalePipelineRooms,singleLineText,,midscalePipelineRooms,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,midscaleProperties,singleLineText,,midscaleProperties,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,midscaleRooms,singleLineText,,midscaleRooms,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,midscaleAvgStaff,number,,midscaleAvgStaff,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,economyExistingProperties,singleLineText,,economyExistingProperties,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,economyExistingRooms,singleLineText,,economyExistingRooms,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,economyPipelineProperties,singleLineText,,economyPipelineProperties,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,economyPipelineRooms,singleLineText,,economyPipelineRooms,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,economyProperties,singleLineText,,economyProperties,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,economyRooms,singleLineText,,economyRooms,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,economyAvgStaff,number,,economyAvgStaff,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,totalProperties,singleLineText,,totalProperties,No,Yes,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; operator-setup-new-base-build-sheet-rows.json; he-cala-form-inventory.json,No,Yes,Yes,Fully Covered,Low,In new-base writer build sheet with form or OAS inject
Operator Setup - Platform & Markets,totalRooms,singleLineText,,totalRooms,No,Yes,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; operator-setup-new-base-build-sheet-rows.json; he-cala-form-inventory.json,No,Yes,Yes,Fully Covered,Low,In new-base writer build sheet with form or OAS inject
Operator Setup - Platform & Markets,chainScale,singleLineText,,chainScale,No,Yes,Yes,No,operator-alignment-5b-schema-backup-2026-05-25.json; operator-setup-new-base-build-sheet-rows.json; third-party-operator-airtable-fields-used.js; operator-setup-write-plan.js; he-cala-form-inventory.json,No,Yes,Yes,Fully Covered,Low,In new-base writer build sheet with form or OAS inject
Operator Setup - Platform & Markets,newBuildExperience,number,,newBuildExperience,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,conversionExperience,number,,conversionExperience,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,turnaroundExperience,number,,turnaroundExperience,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,preOpeningExperience,number,,preOpeningExperience,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,preOpeningRampLeadTimeMonths,number,,preOpeningRampLeadTimeMonths,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,transitionExperience,number,,transitionExperience,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,stabilizedExperience,number,,stabilizedExperience,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,renovationExperience,number,,renovationExperience,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,locationTypeUrban,number,,locationTypeUrban,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,locationTypeSuburban,number,,locationTypeSuburban,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,locationTypeSmallMetro,number,,locationTypeSmallMetro,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,locationTypeInterstate,number,,locationTypeInterstate,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,locationTypeTotal,number,,locationTypeTotal,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,exitsDeflaggings,number,,exitsDeflaggings,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; he-cala-form-inventory.json,No,No,No,Static Form Only,High,Form field with no legacy or new-base path — add mapping or remove from UI
Operator Setup - Platform & Markets,marketDepthOptIn,checkbox,,marketDepthOptIn,No,Yes,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; operator-setup-new-base-build-sheet-rows.json; he-cala-form-inventory.json; third-party-operator-new-two-field-bindings.json,No,No,No,Fully Covered,Low,In new-base writer build sheet with form or OAS inject
Operator Setup - Platform & Markets,mkt_narrative_depth,multilineText,,mkt_narrative_depth,No,Yes,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; operator-setup-new-base-build-sheet-rows.json; he-cala-form-inventory.json; third-party-operator-new-two-field-bindings.json,No,No,No,Fully Covered,Low,In new-base writer build sheet with form or OAS inject
Operator Setup - Platform & Markets,mkt_signal_years,singleLineText,,mkt_signal_years,No,Yes,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; operator-setup-new-base-build-sheet-rows.json; he-cala-form-inventory.json; third-party-operator-new-two-field-bindings.json,No,No,No,Fully Covered,Low,In new-base writer build sheet with form or OAS inject
Operator Setup - Platform & Markets,mkt_signal_gateway,singleLineText,,mkt_signal_gateway,No,Yes,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; operator-setup-new-base-build-sheet-rows.json; he-cala-form-inventory.json; third-party-operator-new-two-field-bindings.json,No,No,No,Fully Covered,Low,In new-base writer build sheet with form or OAS inject
Operator Setup - Platform & Markets,mkt_signal_mix,singleLineText,,mkt_signal_mix,No,Yes,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; operator-setup-new-base-build-sheet-rows.json; he-cala-form-inventory.json; third-party-operator-new-two-field-bindings.json,No,No,No,Fully Covered,Low,In new-base writer build sheet with form or OAS inject
Operator Setup - Platform & Markets,Brands Portfolio Detail,multilineText,,brandsPortfolioDetail; Brands Portfolio Detail,No,Yes,Yes,Yes,operator-alignment-5b-schema-backup-2026-05-25.json; operator-setup-new-base-build-sheet-rows.json; third-party-operator-airtable-fields-used.js; operator-setup-write-plan.js; he-cala-form-inventory.json,No,Yes,No,Fully Covered,Low,In new-base writer build sheet with form or OAS inject
Operator Setup - Commercial Fit & Terms,company_name,singleLineText,,companyName,No,No,Yes,No,operator-alignment-5b-schema-backup-2026-05-25.json; third-party-operator-airtable-fields-used.js; operator-setup-write-plan.js; he-cala-form-inventory.json,No,Yes,Yes,Legacy Only,High,Extend new-base build sheet + writer (Phase B)
Operator Setup - Commercial Fit & Terms,ov_card_discipline,multilineText,,ov_card_discipline,No,Yes,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; operator-setup-new-base-build-sheet-rows.json; he-cala-form-inventory.json; third-party-operator-new-two-field-bindings.json,No,Yes,No,Fully Covered,Low,In new-base writer build sheet with form or OAS inject
Operator Setup - Commercial Fit & Terms,Operator,multipleRecordLinks,,,No,No,No,No,operator-alignment-5b-schema-backup-2026-05-25.json,No,No,No,Fully Covered,Low,System/link field — no UI required
Operator Setup - Commercial Fit & Terms,ov_card_commercial,multilineText,,ov_card_commercial,No,Yes,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; operator-setup-new-base-build-sheet-rows.json; he-cala-form-inventory.json; third-party-operator-new-two-field-bindings.json,No,Yes,No,Fully Covered,Low,In new-base writer build sheet with form or OAS inject
Operator Setup - Commercial Fit & Terms,ov_card_communication,multilineText,,ov_card_communication,No,Yes,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; operator-setup-new-base-build-sheet-rows.json; he-cala-form-inventory.json; third-party-operator-new-two-field-bindings.json,No,Yes,No,Fully Covered,Low,In new-base writer build sheet with form or OAS inject
Operator Setup - Commercial Fit & Terms,ov_card_flexibility,multilineText,,ov_card_flexibility,No,Yes,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; operator-setup-new-base-build-sheet-rows.json; he-cala-form-inventory.json; third-party-operator-new-two-field-bindings.json,No,Yes,No,Fully Covered,Low,In new-base writer build sheet with form or OAS inject
Operator Setup - Commercial Fit & Terms,ov_card_risk,multilineText,,ov_card_risk,No,Yes,No,No,operator-alignment-5b-schema-backup-2026-05-25.json; operator-setup-new-base-build-sheet-rows.json; he-cala-form-inventory.json; third-party-operator-new-two-field-bindings.json,No,Yes,No,Fully Covered,Low,In new-base writer build sheet with form or OAS inject
